,element_type,osmid,name,public_transport,geometry,lat,lon,icona
3180,node,9649426473,Via Filzi Via Pirelli,platform,POINT (9.2001942 45.484303),45.484303,9.2001942,
3181,node,9649426474,Stazione Centrale M2 M3,platform,POINT (9.2019148 45.4868498),45.4868498,9.2019148,
3182,node,9649426475,Via Schiaparelli Via P.te Seveso,platform,POINT (9.2047447 45.4897048),45.4897048,9.2047447,
3183,node,9649543534,P.le Aquileia,platform,POINT (9.1635559 45.4609368),45.4609368,9.1635559,
3184,node,9649543535,V.le Coni Zugna Via Solari,platform,POINT (9.1690725 45.4572997),45.4572997,9.1690725,
3185,node,9649543536,Conciliazione M1,platform,POINT (9.165308 45.4678877),45.4678877,9.165308,
3186,node,9649543537,V.le Coni Zugna Via Foppa,platform,POINT (9.1654006 45.4596956),45.4596956,9.1654006,
3187,node,9649543538,V.le S. Michele del Carso P.za De Meis,platform,POINT (9.164093 45.4639087),45.4639087,9.164093,
3188,node,9649543539,P.le Baracca,platform,POINT (9.164907 45.466522),45.466522,9.164907,
3189,node,9649543540,Via Ariosto,platform,POINT (9.165998 45.4701858),45.4701858,9.165998,
3190,node,9649543541,Piazzale Cimitero Monumentale Via Bramante,platform,POINT (9.1780452 45.4843182),45.4843182,9.1780452,
3191,node,9657605909,Piazza Costantino,platform,POINT (9.2480809 45.5098247),45.5098247,9.2480809,
3192,node,9702624208,Cascina Gobba M2,stop_position,POINT (9.2605392 45.5113706),45.5113706,9.2605392,
3193,node,9738415468,Via Sant'Arialdo - Via San Bernardo,platform,POINT (9.2369564 45.4180742),45.4180742,9.2369564,
3194,node,9783507189,,platform,POINT (9.2453977 45.4301745),45.4301745,9.2453977,
3195,node,9894850271,brenta,platform,POINT (9.2187993 45.4427947),45.4427947,9.2187993,
3196,node,9895185440,Piazza V.maggio,platform,POINT (9.1795231 45.4524402),45.4524402,9.1795231,
3197,node,9895316684,Via Vigevano Via Corsico,platform,POINT (9.1725994 45.4529781),45.4529781,9.1725994,
3198,node,9895371683,,platform,POINT (9.2953612 45.4740873),45.4740873,9.2953612,
3199,node,9904039586,,platform,POINT (9.1535995 45.4553618),45.4553618,9.1535995,
3200,node,9955410604,Via L. il Moro Via Pestalozzi,platform,POINT (9.1540779 45.4473184),45.4473184,9.1540779,
3201,node,9955410605,Via L. il Moro Via Pestalozzi,stop_position,POINT (9.1541325 45.4472856),45.4472856,9.1541325,
3202,node,9961679560,,,POINT (9.1279292 45.4895551),45.4895551,9.1279292,
3203,node,9961679561,,,POINT (9.1280322 45.4896096),45.4896096,9.1280322,
3204,node,9961679562,,,POINT (9.1281466 45.4896747),45.4896747,9.1281466,
3205,node,9961679563,,,POINT (9.1276983 45.4894179),45.4894179,9.1276983,
3206,node,9961679564,,,POINT (9.127816 45.4894879),45.4894879,9.127816,
3207,node,9961679565,,,POINT (9.1282623 45.4897369),45.4897369,9.1282623,
3208,node,9975298517,Via L. Il Moro P.le Negrelli,platform,POINT (9.1405016 45.4444574),45.4444574,9.1405016,
3209,node,9975298518,Via L. Il Moro P.le Negrelli,stop_position,POINT (9.1405479 45.4444108),45.4444108,9.1405479,
