,name,geometry,lat,lon
170,Parking Sempione,POINT (9.1647369 45.4797817),45.4797817,9.1647369
171,Parcheggi Low Cost,POINT (9.2821369 45.4670967),45.4670967,9.2821369
172,,POINT (9.1622157 45.464162),45.464162,9.1622157
173,Central Parking,POINT (9.186016 45.4585287),45.4585287,9.186016
174,,POINT (9.2401624 45.4997482),45.4997482,9.2401624
175,,POINT (9.231173 45.4873555),45.4873555,9.231173
176,,POINT (9.2118033 45.4803393),45.4803393,9.2118033
177,,POINT (9.1681329 45.4651873),45.4651873,9.1681329
178,,POINT (9.170175 45.4652772),45.4652772,9.170175
179,,POINT (9.1641418 45.4878233),45.4878233,9.1641418
180,,POINT (9.1648399 45.4883212),45.4883212,9.1648399
181,,POINT (9.1641224 45.4878544),45.4878544,9.1641224
182,,POINT (9.164152 45.4875637),45.4875637,9.164152
183,,POINT (9.1625836 45.4878639),45.4878639,9.1625836
184,,POINT (9.165927 45.5182811),45.5182811,9.165927
185,,POINT (9.2228822 45.509835),45.509835,9.2228822
186,Bramante Parking H24,POINT (9.1787776 45.4824845),45.4824845,9.1787776
187,Pichi Navigli,POINT (9.1753428 45.4494538),45.4494538,9.1753428
188,,POINT (9.1494479 45.46279),45.46279,9.1494479
189,,POINT (9.1724487 45.4454839),45.4454839,9.1724487
190,Antognazza Garage,POINT (9.1730952 45.4537105),45.4537105,9.1730952
191,Autosilo Noe,POINT (9.2187096 45.4774373),45.4774373,9.2187096
192,Portello (Via Aldo Rossi),POINT (9.1478875 45.4854225),45.4854225,9.1478875
193,,POINT (9.2057584 45.4624415),45.4624415,9.2057584
194,,POINT (9.1751327 45.4575949),45.4575949,9.1751327
195,,POINT (9.1581767 45.4692654),45.4692654,9.1581767
196,,POINT (9.2090788 45.489029),45.489029,9.2090788
197,,POINT (9.169151 45.4813528),45.4813528,9.169151
198,,POINT (9.2019241 45.435765),45.435765,9.2019241
199,B&B Hotel,POINT (9.1926176 45.5195212),45.5195212,9.1926176
200,,POINT (9.2281004 45.4928148),45.4928148,9.2281004
201,Autosilo Diaz,POINT (9.1900023 45.4624098),45.4624098,9.1900023
202,Park Car,POINT (9.1918123 45.4511165),45.4511165,9.1918123
203,,POINT (9.1674335 45.5296957),45.5296957,9.1674335
204,,POINT (9.1665906 45.5293783),45.5293783,9.1665906
205,,POINT (9.1669234 45.529514),45.529514,9.1669234
206,,POINT (9.1764074 45.4844333),45.4844333,9.1764074
207,,"POLYGON ((9.1595288 45.4674545, 9.1603332 45.4679883, 9.1604489 45.4681189, 9.1604428 45.4682503, 9.158726 45.4683694, 9.1587304 45.468202, 9.1591239 45.4679053, 9.1592868 45.4677824, 9.1592848 45.4676368, 9.1595288 45.4674545))",9.1595288,45.4674545
208,,"POLYGON ((9.1845086 45.4587972, 9.1841913 45.4589363, 9.1841892 45.4588607, 9.1841894 45.4587277, 9.1841855 45.4586761, 9.1843612 45.4585794, 9.1844528 45.4586233, 9.1845245 45.4587242, 9.1845086 45.4587972))",9.1845086,45.4587972
209,Parcheggio di corrispondenza Bisceglie M1,"POLYGON ((9.1143894 45.4547766, 9.1136256 45.4546369, 9.1138112 45.4541586, 9.11313 45.4540382, 9.1129621 45.4545097, 9.1122152 45.454371, 9.1125931 45.4533354, 9.1147944 45.453765, 9.1143894 45.4547766))",9.1143894,45.4547766
210,,"POLYGON ((9.1819958 45.4798151, 9.1818725 45.4798367, 9.1822246 45.4808891, 9.1822636 45.4809619, 9.1823118 45.4810349, 9.1823808 45.4811102, 9.1825687 45.480856, 9.1823941 45.4807889, 9.1823394 45.4807508, 9.1823115 45.4807199, 9.1822799 45.4806711, 9.1820025 45.479838, 9.1819958 45.4798151))",9.1819958,45.4798151
211,,"POLYGON ((9.2377403 45.4856794, 9.2378406 45.4856796, 9.2378407 45.4857728, 9.2378358 45.4858121, 9.2384109 45.4858477, 9.2384158 45.4858083, 9.2384722 45.4858118, 9.2385524 45.4851745, 9.2382599 45.4851296, 9.2381255 45.485301, 9.237962 45.4855094, 9.2378453 45.4855022, 9.2378249 45.4855283, 9.2377146 45.4856696, 9.2377403 45.4856794))",9.2377403,45.4856794
212,,"POLYGON ((9.1163033 45.4949755, 9.1155731 45.4952248, 9.1149328 45.495449, 9.1143206 45.494729, 9.1144805 45.494539, 9.1154007 45.4941726, 9.1156293 45.4941853, 9.1157285 45.4941847, 9.1163033 45.4949755))",9.1163033,45.4949755
213,,"POLYGON ((9.128975 45.4898398, 9.1290115 45.4898539, 9.1290526 45.4898587, 9.1290936 45.4898535, 9.1291297 45.489839, 9.1291569 45.4898169, 9.129172 45.4897897, 9.1291733 45.4897606, 9.1291606 45.4897328, 9.1291353 45.4897096, 9.1290392 45.4896578, 9.1291018 45.4896019, 9.1272805 45.4886005, 9.1272151 45.4886589, 9.1271351 45.4886143, 9.1270934 45.4885962, 9.1270447 45.4885916, 9.1269976 45.4886012, 9.12696 45.4886233, 9.1269385 45.4886543, 9.1269367 45.4886887, 9.1269549 45.4887206, 9.1269901 45.4887446, 9.1270759 45.4887929, 9.1270264 45.4888369, 9.1288422 45.4898394, 9.1288917 45.4897954, 9.128975 45.4898398))",9.128975,45.4898398
214,,"POLYGON ((9.1284876 45.4883304, 9.1280422 45.4884901, 9.1277556 45.4887196, 9.1295268 45.4896866, 9.1298318 45.4894053, 9.1297718 45.4893766, 9.1298653 45.4892975, 9.1297069 45.4892038, 9.1298059 45.4890996, 9.1296297 45.4890138, 9.1298468 45.4888099, 9.1298451 45.488763, 9.1297195 45.4886923, 9.1298619 45.4885328, 9.1298578 45.4880916, 9.129402 45.487854, 9.1292292 45.4880031, 9.1291247 45.4879383, 9.1289542 45.4880022, 9.1288495 45.48808, 9.1288085 45.4880614, 9.1284876 45.4883304))",9.1284876,45.4883304
215,,"POLYGON ((9.1679558 45.4861201, 9.1680376 45.4860584, 9.1676786 45.4852592, 9.167576 45.4852826, 9.1679558 45.4861201))",9.1679558,45.4861201
216,Parcheggio autobus,"POLYGON ((9.1209137 45.477546, 9.1208925 45.4769874, 9.1174803 45.4770194, 9.1174814 45.4771577, 9.1174822 45.4772451, 9.1174847 45.4775527, 9.1177857 45.4775934, 9.1205602 45.4775511, 9.1209137 45.477546))",9.1209137,45.477546
217,Parcheggio A-B-C,"POLYGON ((9.1203805 45.479114, 9.120117 45.4797194, 9.1196986 45.4804528, 9.1194464 45.4804603, 9.1193418 45.480588, 9.1192846 45.480658, 9.1197685 45.4807815, 9.1200867 45.4807971, 9.1206672 45.4807897, 9.1208088 45.4807682, 9.121083 45.4807037, 9.1214479 45.4806078, 9.1214483 45.4805371, 9.1217628 45.4805331, 9.121763 45.480486, 9.1219297 45.4804852, 9.1219292 45.4803846, 9.1223161 45.480378, 9.1223168 45.4803345, 9.1225028 45.4803312, 9.1225823 45.4802676, 9.1225512 45.480196, 9.1224408 45.4802269, 9.1220727 45.4795812, 9.12203 45.4795127, 9.1219206 45.4793331, 9.1212532 45.4791044, 9.1203805 45.479114))",9.1203805,45.479114
218,,"POLYGON ((9.2076651 45.4975849, 9.2077013 45.4977547, 9.2077168 45.4978199, 9.2077216 45.4978477, 9.2081949 45.4978024, 9.2081197 45.497533, 9.2076651 45.4975849))",9.2076651,45.4975849
219,,"POLYGON ((9.2102449 45.5066196, 9.210542 45.5069753, 9.2106212 45.506938, 9.21063 45.50688, 9.210695 45.506847, 9.2104332 45.5065404, 9.2102449 45.5066196))",9.2102449,45.5066196
220,,"POLYGON ((9.1952692 45.5078958, 9.195688 45.5087332, 9.1954729 45.5087924, 9.1950629 45.5079512, 9.1952692 45.5078958))",9.1952692,45.5078958
221,,"POLYGON ((9.1417877 45.4475509, 9.141617 45.4478109, 9.1418144 45.4478747, 9.141785 45.4479195, 9.1417556 45.4479643, 9.1415383 45.4478941, 9.1413761 45.4478417, 9.1418933 45.4470538, 9.1423788 45.4472107, 9.1425695 45.4472723, 9.1423231 45.4476478, 9.1430459 45.4478813, 9.1430236 45.4479153, 9.1429502 45.4480271, 9.1429274 45.4480619, 9.1420885 45.4477909, 9.1420195 45.4477686, 9.1422509 45.4474162, 9.1420832 45.447362, 9.1420544 45.4473527, 9.1418869 45.4472986, 9.1417329 45.4475331, 9.1417877 45.4475509))",9.1417877,45.4475509
222,,"POLYGON ((9.1496899 45.4366615, 9.1497108 45.4363432, 9.1505357 45.4363699, 9.1505148 45.4366882, 9.1496899 45.4366615))",9.1496899,45.4366615
223,,"POLYGON ((9.1493104 45.4329237, 9.149581 45.4331031, 9.1500207 45.4327741, 9.1497581 45.4326032, 9.1493104 45.4329237))",9.1493104,45.4329237
224,,"POLYGON ((9.1905187 45.5086208, 9.190204 45.5086962, 9.1900998 45.5087211, 9.1900875 45.5087014, 9.1900564 45.5086506, 9.1899823 45.5085098, 9.1899735 45.5084878, 9.1899675 45.5084608, 9.1899651 45.5084324, 9.1899709 45.5084036, 9.1899802 45.5083805, 9.1899902 45.508359, 9.1903247 45.5082789, 9.190423 45.5084522, 9.1904496 45.508499, 9.1905187 45.5086208))",9.1905187,45.5086208
225,,"POLYGON ((9.1903723 45.5079411, 9.1901939 45.507983, 9.1901778 45.5079493, 9.1897541 45.5080489, 9.1896636 45.5078598, 9.1902656 45.5077183, 9.1903723 45.5079411))",9.1903723,45.5079411
226,,"POLYGON ((9.1957969 45.508885, 9.1962703 45.5099593, 9.1960656 45.5100119, 9.1955276 45.5089406, 9.1957969 45.508885))",9.1957969,45.508885
227,,"POLYGON ((9.20648 45.5201891, 9.2061518 45.5206563, 9.2057468 45.5199421, 9.2059036 45.5198974, 9.2062751 45.5197932, 9.2063604 45.519948, 9.2064377 45.5200883, 9.20648 45.5201891))",9.20648,45.5201891
228,,"POLYGON ((9.1721098 45.4950765, 9.1720649 45.4948871, 9.1722935 45.4948554, 9.172319 45.4949461, 9.1725138 45.4949191, 9.1724883 45.4948285, 9.1732627 45.4947212, 9.1732921 45.4948206, 9.1733141 45.4949116, 9.1721377 45.4950732, 9.1721098 45.4950765))",9.1721098,45.4950765
229,,"POLYGON ((9.1990746 45.5118846, 9.1983414 45.5120871, 9.1983666 45.5118525, 9.1989594 45.5116853, 9.1990746 45.5118846))",9.1990746,45.5118846
230,,"POLYGON ((9.1907389 45.5092208, 9.190826 45.509403, 9.1907736 45.5094154, 9.1909555 45.5097907, 9.1908555 45.5098142, 9.1903936 45.5099251, 9.1901741 45.5094731, 9.1902353 45.5094589, 9.1901911 45.5093673, 9.1901761 45.509336, 9.1901639 45.5093107, 9.1905939 45.5092114, 9.1906317 45.5092023, 9.1906707 45.5091931, 9.1906896 45.5092333, 9.1907389 45.5092208))",9.1907389,45.5092208
231,,"POLYGON ((9.1721112 45.5087726, 9.1718777 45.5087155, 9.172061 45.508347, 9.1722951 45.5084261, 9.1721112 45.5087726))",9.1721112,45.5087726
232,,"POLYGON ((9.1833347 45.5281418, 9.1833479 45.5282213, 9.183401 45.5285421, 9.1834245 45.5286844, 9.1822249 45.5287818, 9.1821487 45.5283217, 9.1821444 45.5282958, 9.1822042 45.528291, 9.1821949 45.5282343, 9.1833347 45.5281418))",9.1833347,45.5281418
233,,"POLYGON ((9.1739106 45.520316, 9.1739378 45.5203333, 9.1740101 45.5203795, 9.1738447 45.5205035, 9.1738033 45.5204752, 9.1736987 45.5205627, 9.1737171 45.520574, 9.1733345 45.5208642, 9.1732599 45.520815, 9.1733339 45.5207595, 9.173252 45.5207045, 9.1735624 45.5204722, 9.173636 45.5205226, 9.1739106 45.520316))",9.1739106,45.520316
234,,"POLYGON ((9.2016066 45.516134, 9.2016882 45.5162662, 9.2006811 45.5165409, 9.2006171 45.5164261, 9.2016066 45.516134))",9.2016066,45.516134
235,,"POLYGON ((9.1945519 45.5239461, 9.1936689 45.5237464, 9.1933393 45.5236718, 9.1931972 45.5236397, 9.1931918 45.5236153, 9.1929656 45.5235648, 9.1930175 45.5234367, 9.1946113 45.5238042, 9.1945519 45.5239461))",9.1945519,45.5239461
236,,"POLYGON ((9.1885316 45.5010471, 9.1884683 45.5010602, 9.1884827 45.5010945, 9.1884667 45.5010978, 9.1883309 45.5011256, 9.1881673 45.5007514, 9.1882873 45.5007268, 9.18839 45.5007059, 9.1885106 45.5009964, 9.1885316 45.5010471))",9.1885316,45.5010471
237,,"POLYGON ((9.1163535 45.469077, 9.1165283 45.4691132, 9.1168504 45.4684268, 9.1167095 45.4683852, 9.1163535 45.469077))",9.1163535,45.469077
